Time,Origin,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Left Knee Angle,Right Knee Angle,Left Yaw Angle,Right Yaw Angle,Left Pitch Angle,Right Pitch Angle,Left Roll Angle,Right Roll Angle
0.0002620220184326172,"[-1159.8882843383303, -503.9309985767723, -1101.0034466023171]","[-120.99774338696716, 30.49928437725913, -81.37216661918751]","[120.99774338696739, -30.49928437725913, 81.37216661918774]","[360.25440704406753, 163.96728654304752, -9.628299564121107]","[296.07351310710385, 0.04627080265305494, -154.63290009151456]","[442.5602530646379, 15.424247284566832, -278.0763313676375]","[478.9012180665869, -375.2598911787713, -441.14813560703624]","[419.39120659591185, 214.8042706959501, -866.5321495521891]","[643.3507926989607, 51.36924340821821, -394.6366132011126]",129.80931196792844,51.96542994968871,58.1640408230693,135.33125081147278,54.43738083318845,14.137468653471526,63.32857366361772,91.79989724866412
0.11451292037963867,"[-1167.0753970293222, -510.81105091870177, -1106.729055279318]","[-122.93433663514884, 30.266173516546303, -82.67554911044863]","[122.93433663514884, -30.26617351654636, 82.6755491104484]","[350.9321214039346, 160.46356968024526, -25.800935117303652]","[300.0064059253748, 1.5181197638309527, -152.32491533567963]","[450.90768374621416, 19.004618155977766, -269.0775192788835]","[482.67949673294356, -377.2594240935549, -440.76256725574876]","[422.8957183903477, 214.2476773792693, -869.7917752505218]","[651.9357462225277, 55.10888821919605, -383.69844196782674]",127.79569619569443,51.25147058509247,55.7240316615492,138.51512482392474,46.07598750480448,14.534487594214657,58.390413880573035,93.2796030071324
0.22982501983642578,"[-1164.767822086426, -506.06291167975525, -1106.6569858837927]","[-118.99661517397294, 32.05568774908767, -78.75938548837735]","[118.99661517397317, -32.05568774908767, 78.75938548837735]","[363.07781326008364, 165.87640692597404, -7.1972141338164874]","[310.154605388507, 8.616168692899919, -136.29063900474807]","[447.9393004682797, 17.93541865999407, -274.82933568806834]","[480.4755964056644, -375.82160654546436, -444.4111267447936]","[421.6335853966467, 217.21123014944453, -867.6679886147172]","[646.5487777585772, 53.01538309737663, -395.5378430535245]",129.71911026146046,51.024153705061764,56.69931193893968,137.98201087461328,55.07572234626328,18.274249953281203,62.256652940566724,92.53261517568887
0.3425009250640869,"[-1166.84130165861, -511.8551873566739, -1106.7615769448776]","[-116.7002364133109, 32.744900577306964, -76.57348050729138]","[116.7002364133109, -32.74490057730691, 76.57348050729115]","[353.6909473886591, 161.69009956835964, -21.32089094775597]","[309.6059820948542, 7.721445357308255, -137.91032105841919]","[457.73108052443104, 21.723952079721414, -261.9988809829183]","[482.65143733302864, -376.5463531410078, -440.5840714598273]","[424.84678810429637, 215.2432818844605, -863.1055239426003]","[650.202762948626, 53.63578337947729, -389.4831987165644]",127.40437733543325,50.965960171670936,56.02636973692235,140.3306371831704,47.102354465074505,17.565700082360628,56.0927023609928,92.46426756258967
0.45169901847839355,"[-1164.9176595801973, -504.29507310316484, -1105.9542572170863]","[-120.58950336547218, 29.63516758597831, -81.33525118011198]","[120.58950336547241, -29.63516758597831, 81.33525118011198]","[348.37913803454967, 156.9627007271544, -28.191174137153666]","[309.7111697578931, 7.294476069834673, -137.191217177319]","[471.3893305555945, 27.339774493948596, -244.50024346305463]","[485.6020821730805, -371.19783641524003, -434.9180296265456]","[424.14832424448696, 217.10663504289016, -861.9984655776332]","[645.2257654676511, 49.453355173323985, -403.269167802551]",124.58596017215616,52.56417447920922,58.8185248004435,141.2422967242083,41.47387146209655,17.305992740160644,48.86999224460905,90.81044708181095
0.5640020370483398,"[-1167.9975609051185, -503.99130338594523, -1108.8948283399823]","[-117.4022381454497, 29.962281656786615, -78.4755822455727]","[117.40223814544947, -29.96228165678656, 78.4755822455727]","[364.55299181054, 162.3636883565319, -8.25402499381812]","[312.73991942902546, 8.36050344293858, -134.79589574103557]","[471.89501611554795, 21.089071967854636, -252.75478647377713]","[487.1239537315595, -372.8283752033477, -438.1302279712818]","[428.8907611751099, 219.52804157472212, -854.9606746696807]","[653.0053707537454, 53.96755427523931, -389.75933865195066]",126.64552691466372,51.46190763922019,61.882837356126075,137.3760675486054,51.36900503428369,18.06456414366059,55.413949399158426,92.3557409594459
0.6785449981689453,"[-1165.7543864794475, -508.7019127126469, -1103.8639202083282]","[-114.45114064060795, 29.89056134462311, -75.82621736911551]","[114.45114064060817, -29.89056134462311, 75.82621736911574]","[354.3274319348393, 157.2094804806532, -23.01605333266525]","[319.66055905019186, 12.12166013977253, -123.96946352861278]","[475.5489295756379, 20.202886285857915, -247.67993492028677]","[481.68476032716967, -380.3282845026608, -446.5488998558021]","[425.0688739299327, 213.73243067956003, -862.6465035111423]","[647.9131806323022, 48.543460295837804, -401.4278742639208]",124.28029272671571,50.74697662889122,57.18197291971617,143.25300181712862,43.6743305651269,20.949318788945074,50.269833061807,92.67741469112639
0.791579008102417,"[-1168.1227148541782, -504.3012506638147, -1108.0331997113083]","[-112.0547735943228, 30.989015593278395, -73.7532620430477]","[112.0547735943228, -30.989015593278395, 73.7532620430477]","[353.87651279257, 156.68704537027247, -24.189830307377633]","[316.0845029098108, 9.97944196782737, -130.4533963036215]","[482.2910356638872, 23.518548817035935, -241.7590289002842]","[486.83514454240185, -374.19314329181793, -441.4433492065625]","[427.41315781612536, 219.14664997738043, -859.8462958080904]","[654.2595196827535, 54.739459709045036, -388.38042020845205]",123.06557148961645,50.949833942497115,60.01586836512509,141.52532792836837,42.176115373226516,19.2523179523803,48.50823116596216,92.80261011373844
0.9133470058441162,"[-1171.5533125922534, -510.06789069309684, -1108.046153971189]","[-104.4304850737301, 33.04309294478031, -67.61953958482832]","[104.4304850737301, -33.04309294478037, 67.61953958482832]","[363.15173436244834, 158.67519975352326, -12.380713995680253]","[323.9676773467713, 13.1988862257258, -120.36061580454589]","[480.8344420959181, 18.70087600283705, -254.2080575455716]","[497.09615835339025, -374.8684087760813, -437.69686746691036]","[428.3746870606443, 216.71084816367988, -865.2923463065147]","[659.066394449844, 56.21389279508094, -382.70607534449005]",125.64949381537687,50.42607360834082,59.8027898417424,139.95131603855754,49.03004950887986,20.937430324973864,52.26411367498194,92.55123249213976
1.0342271327972412,"[-1166.643470841363, -507.4191115729328, -1103.087879118168]","[-106.99165520331758, 30.52068317651583, -70.10942971250142]","[106.9916552033178, -30.52068317651583, 70.10942971250165]","[358.80905168856566, 152.28971411434634, -12.297004704965502]","[329.0372001457315, 14.57293580063174, -108.66498046172546]","[469.8143590003342, 11.614500554367737, -273.96297326036756]","[507.538568627989, -369.7606231968026, -429.73543276478676]","[425.9174895680628, 216.15726569993524, -863.898856553061]","[652.0661750477549, 52.535467237183354, -393.8694697385613]",127.45406104360661,51.555533986428955,55.75621475512684,141.06270342531766,51.66975289527426,22.767558253853807,54.7718346363979,90.56442454376017
