Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1.0856049060821533,"[-60.62833542099327, -53.59513211731337, 200.29069859474725]","[60.62833542099315, 53.59513211731337, -200.2906985947473]","[575.9743196874267, 349.78583070189916, -5.941355003547187]","[590.435483500244, 343.8467026949853, -166.93205520541716]","[944.1605280997406, 413.1929244174747, 81.88975490160237]","[915.5509096677554, 426.77358929754473, -211.1956786507895]","[575.9743196874267, 349.78583070189916, -5.941355003547187]","[590.435483500244, 343.8467026949853, -166.93205520541716]"
1.5456740856170654,"[-69.50678058228141, -58.564478836858825, 206.02510183344918]","[69.50678058228152, 58.564478836858825, -206.02510183344918]","[584.7925059685253, 353.76238260733476, -8.957728792592206]","[601.5053786793189, 349.4157182725553, -173.5045547739618]","[953.7491705403927, 417.6713830923155, 79.93274113277027]","[927.1842092230263, 435.77017013040495, -217.7025217138867]","[584.7925059685253, 353.76238260733476, -8.957728792592206]","[601.5053786793189, 349.4157182725553, -173.5045547739618]"
1.5980689525604248,"[-70.05547079248913, -59.725046895524656, 205.81236449124435]","[70.05547079248925, 59.725046895524656, -205.81236449124435]","[580.6422435591807, 342.9073017246857, -1.8355463758239239]","[598.2090801118713, 343.9988313884543, -170.92313360005005]","[951.4693335439628, 407.9219839767634, 86.89660264868564]","[924.3762488308698, 426.9250749759394, -213.04857315769783]","[580.6422435591807, 342.9073017246857, -1.8355463758239239]","[598.2090801118713, 343.9988313884543, -170.92313360005005]"
1.6522440910339355,"[-68.29918410990285, -57.137033091488775, 204.60177440896314]","[68.29918410990297, 57.137033091489, -204.6017744089632]","[582.5258500177437, 348.12550189731303, -4.480977523814431]","[599.8239255156461, 347.0992405795963, -171.45624713737163]","[952.5664944526791, 412.0961577358188, 84.63646386335483]","[927.7848025105739, 424.86143431478797, -210.50845952614713]","[582.5258500177437, 348.12550189731303, -4.480977523814431]","[599.8239255156461, 347.0992405795963, -171.45624713737163]"
1.7013850212097168,"[-69.03667476667886, -57.29958591500872, 204.91156260241928]","[69.03667476667886, 57.29958591500895, -204.9115626024194]","[583.7962776584621, 347.1218749260098, -3.6357050992837685]","[601.3535556513292, 345.7225843622332, -170.8816919288269]","[952.3585935285512, 416.6355793259703, 80.67226346601831]","[924.6119639273468, 436.966153621732, -218.6709208471554]","[583.7962776584621, 347.1218749260098, -3.6357050992837685]","[601.3535556513292, 345.7225843622332, -170.8816919288269]"
1.747913122177124,"[-67.56722307613438, -55.68889420562846, 203.2003424034524]","[67.56722307613427, 55.68889420562846, -203.20034240345245]","[581.4632168122729, 341.0076768117119, 1.4611640459224873]","[599.3134511001791, 341.3452927075491, -167.3508597476178]","[953.9064049762387, 404.8492989336828, 92.57765655446997]","[925.1552898396084, 428.35067009330635, -212.45628374776567]","[581.4632168122729, 341.0076768117119, 1.4611640459224873]","[599.3134511001791, 341.3452927075491, -167.3508597476178]"
1.7989881038665771,"[-66.12130251436338, -54.26493030349775, 203.3027064413452]","[66.12130251436338, 54.26493030349775, -203.30270644134515]","[584.2971930583682, 347.73436290141365, -3.4031048427242467]","[602.0314955513142, 347.2313949123803, -171.2275723164998]","[950.4180796553817, 423.2033118759215, 75.14964365020103]","[926.195717942504, 434.8659830962267, -217.2844995472932]","[584.2971930583682, 347.73436290141365, -3.4031048427242467]","[602.0314955513142, 347.2313949123803, -171.2275723164998]"
1.846337080001831,"[-66.63343883944765, -58.93893036037207, 204.86490732500238]","[66.63343883944776, 58.93893036037207, -204.8649073250025]","[578.660115494999, 342.0262070194931, -1.667089425762697]","[595.7872649321516, 340.66951499400807, -168.6820419433729]","[944.6907370870385, 416.20209886621194, 78.51610777052053]","[919.5198509227781, 428.7527072291175, -216.02869441220292]","[578.660115494999, 342.0262070194931, -1.667089425762697]","[595.7872649321516, 340.66951499400807, -168.6820419433729]"
1.9095079898834229,"[-70.53989227032503, -64.45025225965878, 210.64052074497772]","[70.53989227032491, 64.45025225965878, -210.64052074497766]","[587.0146317272637, 353.90707019761817, -10.055173655146064]","[604.2706320124762, 351.74259704424003, -176.60918319689176]","[955.4430528755461, 422.3560006113595, 76.51642394102953]","[928.7585626552988, 440.6425014803027, -224.55108222733486]","[587.0146317272637, 353.90707019761817, -10.055173655146064]","[604.2706320124762, 351.74259704424003, -176.60918319689176]"
1.9595820903778076,"[-68.63940893220717, -62.678574261893345, 208.78394552290092]","[68.63940893220717, 62.67857426189357, -208.78394552290098]","[583.9069867822043, 343.24396947084654, -3.3382052379334937]","[601.2266771671954, 347.01592239929755, -173.77449643630115]","[952.6695017461763, 416.9748179051687, 80.48486629395757]","[925.1680394916154, 437.593909561848, -222.82216056209853]","[583.9069867822043, 343.24396947084654, -3.3382052379334937]","[601.2266771671954, 347.01592239929755, -173.77449643630115]"
