Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
0.513664960861206,"[287.5213117347479, 517.7753758454741, -215.57844161249704]","[-287.5213117347479, -517.7753758454741, 215.57844161249704]","[234.67828370145526, -208.92212062108933, 408.23841006414193]","[250.86221277153717, -205.43543056661395, 243.6649467438462]","[581.2979824377423, -141.61096610883067, 469.23229566638554]","[561.9920337347223, -134.14397527002552, 207.34691600189387]","[234.67828370145526, -208.92212062108933, 408.23841006414193]","[250.86221277153717, -205.43543056661395, 243.6649467438462]"
0.5648789405822754,"[-5.40230673383644, 5.781292946865278, 145.15097570472165]","[5.402306733836554, -5.781292946865278, -145.15097570472165]","[530.88581224439, 306.58318461882664, 46.77133549936855]","[547.6637242827918, 312.98188251885165, -121.39712798932715]","[883.8280633771776, 375.4076643435035, 106.66653455213316]","[860.8259263372887, 377.659949801356, -153.0997851549069]","[530.88581224439, 306.58318461882664, 46.77133549936855]","[547.6637242827918, 312.98188251885165, -121.39712798932715]"
0.6203949451446533,"[-6.285512429274945, 4.21350587884308, 145.1549966226862]","[6.285512429274945, -4.21350587884308, -145.15499662268616]","[531.8807442843076, 309.1834801796855, 43.86343861510966]","[548.5814334710786, 308.36803117536783, -118.42571496091495]","[890.576065603536, 365.5305205296464, 116.38591238226502]","[860.0661588274961, 381.2569788896435, -155.9996835312548]","[531.8807442843076, 309.1834801796855, 43.86343861510966]","[548.5814334710786, 308.36803117536783, -118.42571496091495]"
0.6706509590148926,"[-6.102378475365299, 3.665800004287803, 143.59287670087008]","[6.102378475365299, -3.665800004287803, -143.5928767008702]","[532.1526921350602, 306.17052731740955, 45.97668247228614]","[549.2449232970873, 309.7913295191662, -118.03561070929578]","[888.6230658938566, 374.3415632764677, 108.41018358361634]","[860.8638222250152, 383.08993114128634, -156.97559936707472]","[532.1526921350602, 306.17052731740955, 45.97668247228614]","[549.2449232970873, 309.7913295191662, -118.03561070929578]"
0.7208058834075928,"[-1.3691824096689515, 11.484781738219795, 138.4482374427455]","[1.3691824096688379, -11.48478173821968, -138.4482374427455]","[532.0490610961101, 304.0278054209962, 47.834138542899154]","[548.4981804126791, 304.8443233167882, -113.36028052325162]","[887.5387238887155, 371.69687430243664, 111.72438494924143]","[860.6771661140278, 379.91228903792967, -153.2330983162455]","[532.0490610961101, 304.0278054209962, 47.834138542899154]","[548.4981804126791, 304.8443233167882, -113.36028052325162]"
0.7760968208312988,"[-2.727290508393253, 8.642499602146472, 138.6633666382712]","[2.727290508393253, -8.642499602146472, -138.66336663827127]","[528.5419578776832, 294.00479033441366, 53.83639047318127]","[545.3785086454963, 302.49629137635816, -112.3726169245756]","[884.0270314686232, 361.84947009025507, 118.22956783318625]","[857.6761416799272, 372.2872296181863, -149.38977679215827]","[528.5419578776832, 294.00479033441366, 53.83639047318127]","[545.3785086454963, 302.49629137635816, -112.3726169245756]"
0.8261878490447998,"[-4.611484529949848, 5.123597608160026, 140.1936838111991]","[4.611484529949848, -5.123597608160026, -140.19368381119898]","[528.4105753635293, 296.3468070467925, 51.30479053106728]","[546.1180693680554, 301.52102295997827, -112.20059457631857]","[885.5177363599206, 357.5055268749128, 122.04714103985816]","[858.0008767842254, 370.35409736454926, -148.88950552195564]","[528.4105753635293, 296.3468070467925, 51.30479053106728]","[546.1180693680554, 301.52102295997827, -112.20059457631857]"
0.877396821975708,"[-2.3950733210989483, 9.625876295541957, 136.70142941392112]","[2.3950733210989483, -9.625876295541957, -136.70142941392106]","[527.8288640813327, 293.1604544735643, 54.54967428464249]","[545.6521584236868, 297.2572946227069, -108.58068507838766]","[883.7603341402629, 358.2139181257504, 121.7885574273115]","[854.3785715801575, 374.49690268296285, -150.76207972857162]","[527.8288640813327, 293.1604544735643, 54.54967428464249]","[545.6521584236868, 297.2572946227069, -108.58068507838766]"
0.9277799129486084,"[-1.5085042136184938, 10.450929522684987, 136.49066077998827]","[1.5085042136183802, -10.450929522685101, -136.49066077998833]","[529.1538410244972, 294.07264817932, 54.68012996903474]","[546.4543833611606, 300.1872124763272, -109.33048604474556]","[881.0441619444945, 367.08050306928976, 113.68999690930718]","[855.4812109669045, 373.09441289204415, -149.01202174692918]","[529.1538410244972, 294.07264817932, 54.68012996903474]","[546.4543833611606, 300.1872124763272, -109.33048604474556]"
0.9820868968963623,"[-1.6966045096281732, 10.779312541227569, 136.16903594282815]","[1.6966045096281732, -10.779312541227682, -136.1690359428282]","[530.9945373086589, 296.13882296973566, 53.427220070453814]","[547.5654246006951, 299.30336691849755, -107.74698518799136]","[879.4477387994323, 369.56400262932937, 111.17252367794538]","[856.9240727026859, 370.4043738390085, -146.56702293605292]","[530.9945373086589, 296.13882296973566, 53.427220070453814]","[547.5654246006951, 299.30336691849755, -107.74698518799136]"
