Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
0.4878401756286621,"[-0.14557499933380313, -5.5301574106947555, 185.45973747099276]","[0.14557499933368945, 5.530157410694528, -185.45973747099282]","[516.5424216812355, 91.79238886025496, 44.25690423416722]","[512.6940381839304, 102.19279165877049, -145.89972312891206]","[760.6936342701622, 337.4498033776796, 70.43284458273297]","[743.6690742411204, 344.7320013164132, -181.30240982512282]","[516.5424216812355, 91.79238886025496, 44.25690423416722]","[512.6940381839304, 102.19279165877049, -145.89972312891206]"
0.5421772003173828,"[-0.6710549658249647, -7.139960964548436, 186.84131193428982]","[0.6710549658249647, 7.1399609645486635, -186.84131193428988]","[519.0650974940999, 95.30294460065534, 42.41325653926924]","[515.2678130513445, 109.25207010159511, -149.7376661457559]","[762.9885344862914, 344.16459199806627, 66.21569532531464]","[746.084038528711, 350.8593293994693, -184.68928883613864]","[519.0650974940999, 95.30294460065534, 42.41325653926924]","[515.2678130513445, 109.25207010159511, -149.7376661457559]"
0.6123189926147461,"[-2.405727887863918, -10.323610179718571, 189.06641389547087]","[2.405727887863918, 10.323610179718798, -189.06641389547076]","[519.7795879815144, 96.84480050746811, 40.89288793695607]","[516.0753510598579, 112.4334970554138, -152.12174552572242]","[764.0108465346498, 344.01055471879147, 65.50274153808698]","[746.904625285955, 352.10537312091196, -186.61249656038706]","[519.7795879815144, 96.84480050746811, 40.89288793695607]","[516.0753510598579, 112.4334970554138, -152.12174552572242]"
0.6617259979248047,"[-3.0718199577811447, -11.025153210744975, 189.878982554961]","[3.071819957781031, 11.025153210744975, -189.878982554961]","[522.0139275477549, 101.05335425397163, 38.155543695165306]","[517.896953123885, 114.08076842224102, -153.2850541228408]","[766.7843247358305, 343.57131836668884, 66.81141195265661]","[748.3122708481174, 356.3854628951789, -189.21454440381518]","[522.0139275477549, 101.05335425397163, 38.155543695165306]","[517.896953123885, 114.08076842224102, -153.2850541228408]"
0.7128450870513916,"[-2.5861309878101792, -10.338793787894701, 189.20262164445194]","[2.5861309878100656, 10.338793787894474, -189.20262164445194]","[521.5099904926025, 98.46046670381952, 39.752187840573015]","[517.4000455637487, 114.08313601776945, -153.36412403410492]","[762.2737451172202, 353.88875074863734, 56.59186991004947]","[747.8579289762844, 355.6517252599742, -188.46333727819757]","[521.5099904926025, 98.46046670381952, 39.752187840573015]","[517.4000455637487, 114.08313601776945, -153.36412403410492]"
0.7668631076812744,"[-0.5180866088662697, -6.101395149895211, 184.6505287455468]","[0.5180866088662697, 6.101395149895211, -184.65052874554675]","[514.5941609776155, 87.69135111766366, 45.722102755054834]","[510.25823472512985, 100.48260328840956, -145.51981342443543]","[755.0408219506853, 341.42816150710905, 62.97446462163259]","[741.5199454009617, 339.5521762675967, -179.33521195887545]","[514.5941609776155, 87.69135111766366, 45.722102755054834]","[510.25823472512985, 100.48260328840956, -145.51981342443543]"
0.8158071041107178,"[-1.9057993432853664, -9.489751943293413, 187.59828077628003]","[1.9057993432852527, 9.4897519432933, -187.5982807762801]","[518.5570994929952, 94.22126081744364, 41.36129313472918]","[513.6767073349885, 110.02912523152384, -151.40435584962034]","[762.4602761104306, 338.1944705352845, 68.63087251701006]","[744.8837860407232, 350.1642018667209, -184.9352498510193]","[518.5570994929952, 94.22126081744364, 41.36129313472918]","[513.6767073349885, 110.02912523152384, -151.40435584962034]"
0.8620181083679199,"[-0.1688444786417449, -6.63543852138514, 185.3448687621427]","[0.1688444786417449, 6.635438521385026, -185.3448687621427]","[515.7506134362037, 89.7374449426336, 44.565915850923375]","[509.84425513940914, 99.76990926909468, -146.12084346709304]","[761.810051119142, 337.1427646112668, 67.4894606115347]","[741.8673857614624, 349.7107734707523, -184.7232131492683]","[515.7506134362037, 89.7374449426336, 44.565915850923375]","[509.84425513940914, 99.76990926909468, -146.12084346709304]"
0.9088840484619141,"[-2.230696249642506, -9.873262661870058, 188.08967472722384]","[2.2306962496426195, 9.873262661870058, -188.0896747272239]","[519.0348715811018, 96.48300042210178, 40.363876530071025]","[512.7316063095769, 102.99011742954497, -148.74846530652405]","[765.290469277114, 350.30224687835755, 56.418723206968366]","[746.7828702657131, 349.7767310985089, -184.59822896591686]","[519.0348715811018, 96.48300042210178, 40.363876530071025]","[512.7316063095769, 102.99011742954497, -148.74846530652405]"
0.9562880992889404,"[-0.3601404242066337, -5.97639611356135, 186.42656539325526]","[0.36014042420652004, 5.9763961135611225, -186.42656539325526]","[520.6356527308241, 98.74072625709073, 40.11683463358156]","[514.0992874595429, 105.57120624706135, -150.03995107148847]","[765.8922919080105, 358.3815370123896, 49.679533881351404]","[749.1806354112389, 349.78416655059493, -184.58482246804374]","[520.6356527308241, 98.74072625709073, 40.11683463358156]","[514.0992874595429, 105.57120624706135, -150.03995107148847]"
1.0095901489257812,"[-3.4939333665031427, -10.10197596846865, 188.25146007195235]","[3.493933366503029, 10.101975968468764, -188.25146007195224]","[519.7510074845445, 96.28465223295132, 40.82068663938253]","[513.3017277908775, 106.70444108808579, -151.10534035234713]","[767.7798983154333, 350.5368659442256, 55.16597252060467]","[747.1205406350646, 352.42380903495314, -187.07936816764078]","[519.7510074845445, 96.28465223295132, 40.82068663938253]","[513.3017277908775, 106.70444108808579, -151.10534035234713]"
1.0614471435546875,"[-1.560176841566772, -6.00005641621874, 186.54656968265385]","[1.5601768415668857, 6.000056416218968, -186.54656968265374]","[522.6286377705242, 104.63872497559521, 36.3789707310242]","[515.6696640780185, 105.48393607816081, -150.2896800514626]","[773.6931452178886, 345.6925553954417, 62.26571660976356]","[750.1577264519268, 359.96925501524663, -190.9941029838991]","[522.6286377705242, 104.63872497559521, 36.3789707310242]","[515.6696640780185, 105.48393607816081, -150.2896800514626]"
1.1068861484527588,"[-2.7719559058788263, -7.767566479708421, 188.71787938096986]","[2.7719559058788263, 7.767566479708421, -188.71787938096992]","[526.3542128904768, 109.06074364876997, 35.19837756707125]","[519.805744632637, 115.61368744993729, -155.81936341291652]","[773.7880240343352, 366.3360515174667, 44.82874864678456]","[758.5300028899253, 360.1278998632099, -191.76506954385212]","[526.3542128904768, 109.06074364876997, 35.19837756707125]","[519.805744632637, 115.61368744993729, -155.81936341291652]"
1.152834177017212,"[-4.58778412809977, -8.837521327362538, 187.61608263015899]","[4.587784128099884, 8.837521327362538, -187.61608263015899]","[521.8472834808491, 102.12878400903503, 40.198685135441565]","[515.6875328567334, 103.05371103644154, -148.47693188850923]","[774.1985719088855, 348.16658042419454, 58.41087405962401]","[757.3189063150762, 354.9854297921546, -189.72323191793402]","[521.8472834808491, 102.12878400903503, 40.198685135441565]","[515.6875328567334, 103.05371103644154, -148.47693188850923]"
1.1984992027282715,"[-4.744221904639858, -8.114299014194103, 186.8266935728691]","[4.744221904639858, 8.114299014194103, -186.82669357286903]","[521.256567339014, 102.94850807747093, 41.73985630908987]","[515.5589704237372, 104.72026724082946, -147.45521017292367]","[776.7456564006179, 346.89353127374386, 60.25832742708906]","[761.1692800831938, 354.40092325297235, -188.68911275300525]","[521.256567339014, 102.94850807747093, 41.73985630908987]","[515.5589704237372, 104.72026724082946, -147.45521017292367]"
1.245361089706421,"[-5.083040301538972, -6.927962576756727, 186.78461870075478]","[5.083040301538858, 6.927962576756727, -186.78461870075483]","[523.6394886331617, 109.43807763469931, 38.96037570121837]","[518.3550277699388, 107.5833564185458, -148.38530766431415]","[777.841821211247, 358.1065332109124, 51.32144490058329]","[765.7309332145894, 353.1611494905509, -188.89284855862877]","[523.6394886331617, 109.43807763469931, 38.96037570121837]","[518.3550277699388, 107.5833564185458, -148.38530766431415]"
1.2939321994781494,"[-11.616368980659672, -17.087246166398472, 193.38952013255653]","[11.616368980659786, 17.087246166398586, -193.38952013255658]","[528.5693249667432, 113.68443100357092, 36.37195342215682]","[524.243343780171, 119.73569424469497, -155.4262686336087]","[787.6062680462677, 354.742037847519, 55.84764159337749]","[771.9564327951811, 359.38155896164665, -194.24501509397953]","[528.5693249667432, 113.68443100357092, 36.37195342215682]","[524.243343780171, 119.73569424469497, -155.4262686336087]"
